Target,Group1,Group2,change_type,changes
8_9_DiHETrE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.826169809710884, 'new': 0.8262}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.950983961785782, 'new': 0.951}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.564300091878801, 'new': 0.5643}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,FMT,NGBB,edited,"{'P_Value': {'old': 0.207838066146623, 'new': 0.2078}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,FMT,Placebo,edited,"{'P_Value': {'old': 0.345616033587467, 'new': 0.3456}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.928757502914743, 'new': 0.9288}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.990895160721063, 'new': 0.9909}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.997029564155405, 'new': 0.997}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,Chow control,FMT,edited,"{'P_Value': {'old': 0.820724972110513, 'new': 0.8207}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.993140460603995, 'new': 0.9931}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,Chow control,NGBB,edited,"{'P_Value': {'old': 0.828789322286049, 'new': 0.8288}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,Chow control,Placebo,edited,"{'P_Value': {'old': 0.999560260577613, 'new': 0.9996}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.951443995037287, 'new': 0.9514}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,FMT,NGBB,edited,"{'P_Value': {'old': 0.282105650472492, 'new': 0.2821}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,FMT,Placebo,edited,"{'P_Value': {'old': 0.900650301931317, 'new': 0.9007}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.568491510205345, 'new': 0.5685}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.999560948006042, 'new': 0.9996}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_13_TriHOME,NGBB,Placebo,edited,"{'P_Value': {'old': 0.714876818008682, 'new': 0.7149}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,Chow control,FMT,edited,"{'P_Value': {'old': 0.141844411027405, 'new': 0.1418}, 'q_value': {'old': 0.853470608724214, 'new': 0.8532033898305085}}"
9_10_EpOME,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.995465391145929, 'new': 0.9955}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,Chow control,NGBB,edited,"{'P_Value': {'old': 0.962526319985444, 'new': 0.9625}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,Chow control,Placebo,edited,"{'P_Value': {'old': 0.856632741184087, 'new': 0.8566}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.0626950625887371, 'new': 0.0627}, 'q_value': {'old': 0.473547813170249, 'new': 0.4735851063829788}}"
9_10_EpOME,FMT,NGBB,edited,"{'P_Value': {'old': 0.0371185713785798, 'new': 0.0371}, 'q_value': {'old': 0.329427320984895, 'new': 0.3292625}}"
9_10_EpOME,FMT,Placebo,edited,"{'P_Value': {'old': 0.57225071177382, 'new': 0.5723}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.998119900958395, 'new': 0.9981}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.634101627904322, 'new': 0.6341}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_10_EpOME,NGBB,Placebo,edited,"{'P_Value': {'old': 0.467326503398021, 'new': 0.4673}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,Chow control,FMT,edited,"{'P_Value': {'old': 0.591866754067484, 'new': 0.5919}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.995891431507172, 'new': 0.9959}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,Chow control,NGBB,edited,"{'P_Value': {'old': 0.979684211763957, 'new': 0.9797}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,Chow control,Placebo,edited,"{'P_Value': {'old': 0.981311435174376, 'new': 0.9813}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.772764670754613, 'new': 0.7728}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,FMT,NGBB,edited,"{'P_Value': {'old': 0.301924165314909, 'new': 0.3019}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,FMT,Placebo,edited,"{'P_Value': {'old': 0.864682406592824, 'new': 0.8647}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.877741583528489, 'new': 0.8777}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.999677054653105, 'new': 0.9997}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_12_13_TriHOME,NGBB,Placebo,edited,"{'P_Value': {'old': 0.798262318869373, 'new': 0.7983}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
9_HOTrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0013204037403007, 'new': 0.0013}, 'q_value': {'old': 0.0267853330175292, 'new': 0.026371428571428573}}"
9_HOTrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.0056426529302069, 'new': 0.0056}, 'q_value': {'old': 0.0801256716089385, 'new': 0.07952}}"
9_HOTrE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0335787997111091, 'new': 0.0336}, 'q_value': {'old': 0.309622698634902, 'new': 0.3098181818181818}}"
9_HOTrE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0072774184316147, 'new': 0.0073}, 'q_value': {'old': 0.0956845756749351, 'new': 0.09598148148148149}}"
