sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
49,48.4,49.4,266.0,26,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
50,49.4,50.4,6434.0,150,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
51,50.4,51.4,698.0,52,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
52,51.4,52.4,2316.0,106,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
53,52.4,53.4,1242.0,86,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
54,53.4,54.4,2079.0,102,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
55,54.4,55.4,455.0,45,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
56,55.4,56.4,263.0,26,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
57,56.4,57.4,106.0,12,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
58,57.4,58.4,264.0,30,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
59,58.4,59.4,701.0,58,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
60,59.4,60.4,3431.0,123,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
61,60.4,61.4,376.0,32,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
62,61.4,62.4,1987.0,112,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
63,62.4,63.4,862.0,67,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
64,63.4,64.4,179.0,21,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
65,64.4,65.4,25.0,3,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
1,0.4,1.4,967.0,79,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
2,1.4,2.4,5729.0,144,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
3,2.4,3.4,2043.0,113,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
4,3.4,4.4,1105.0,86,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
5,4.4,5.4,591.0,52,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
