"Target","Comparison","P_Value","q_value"
"A_NADA","FMT_NGBB-Chow control",0.975933341123811,1
"A_NADA","NGBB-Chow control",1,1
"A_NADA","Placebo-Chow control",0.747658172580773,0.957743940082809
"A_NADA","FMT_NGBB-FMT",0.384456616654759,0.737966261071055
"A_NADA","NGBB-FMT",0.536010558069382,0.860949601044084
"A_NADA","Placebo-FMT",0.150892408245349,0.521057230809553
"A_NADA","NGBB-FMT_NGBB",0.880111946204287,1
"A_NADA","Placebo-FMT_NGBB",0.694702524558494,0.94672242957965
"A_NADA","Placebo-NGBB",0.561888318080269,0.883592026532772
"A_PGD2","FMT-Chow control",0.596153846153846,0.890460888226975
"A_PGD2","FMT_NGBB-Chow control",0.133548508296119,0.498795633395143
"A_PGD2","NGBB-Chow control",0.171310629514964,0.564960586698285
"A_PGD2","Placebo-Chow control",0.652184760543894,0.909977034043587
"A_PGD2","FMT_NGBB-FMT",0.100261967135032,0.433575942853479
"A_PGD2","NGBB-FMT",0.328305681246858,0.709043243152349
"A_PGD2","Placebo-FMT",0.425150829562594,0.775275042143554
"A_PGD2","NGBB-FMT_NGBB",0.00698480413112261,0.0849133051234514
"A_PGD2","Placebo-FMT_NGBB",0.235116613094807,0.652568829416492
"A_PGD2","Placebo-NGBB",0.0157690606607015,0.157690606607015
"A_UDCA","FMT-Chow control",0.724233283056812,0.955371564883455
"A_UDCA","FMT_NGBB-Chow control",0.739898141971099,0.957696968730859
"A_UDCA","NGBB-Chow control",0.699353020560451,0.94672242957965
"A_UDCA","Placebo-Chow control",0.948729289286565,1
"A_UDCA","FMT_NGBB-FMT",0.967135032150512,1
"A_UDCA","NGBB-FMT",0.791415284062343,0.977445171551101
"A_UDCA","Placebo-FMT",0.724233283056812,0.955371564883455
"A_UDCA","NGBB-FMT_NGBB",0.927908005307386,1
"A_UDCA","Placebo-FMT_NGBB",0.832752252458808,0.998624456985329
"A_UDCA","Placebo-NGBB",0.89766270880822,1
"A_delta17_6_keto_PGF1a","FMT-Chow control",0.929801407742584,1
"A_delta17_6_keto_PGF1a","FMT_NGBB-Chow control",0.260447991905792,0.65884185872104
"A_delta17_6_keto_PGF1a","NGBB-Chow control",0.299986391317661,0.676332954970726
"A_delta17_6_keto_PGF1a","Placebo-Chow control",0.400923122285351,0.757842487246701
"A_delta17_6_keto_PGF1a","FMT_NGBB-FMT",0.384456616654759,0.737966261071055
"A_delta17_6_keto_PGF1a","NGBB-FMT",0.536010558069382,0.860949601044084
"A_delta17_6_keto_PGF1a","Placebo-FMT",0.328305681246858,0.709043243152349
"A_delta17_6_keto_PGF1a","NGBB-FMT_NGBB",0.785948739643719,0.977445171551101
"A_delta17_6_keto_PGF1a","Placebo-FMT_NGBB",0.975933341123811,1
"A_delta17_6_keto_PGF1a","Placebo-NGBB",1,1
"A_thromboxane_B2","FMT-Chow control",0.0441176470588235,0.268166089965398
"A_thromboxane_B2","FMT_NGBB-Chow control",0.785948739643719,0.977445171551101
"A_thromboxane_B2","NGBB-Chow control",0.101415869991721,0.433575942853479
"A_thromboxane_B2","Placebo-Chow control",0.151274679912451,0.521057230809553
"A_thromboxane_B2","FMT_NGBB-FMT",0.0556481701992538,0.310938468833206
"A_thromboxane_B2","NGBB-FMT",0.724233283056812,0.955371564883455
"A_thromboxane_B2","Placebo-FMT",0.285444947209653,0.670222377947742
"A_thromboxane_B2","NGBB-FMT_NGBB",0.0268002289808724,0.218633446949222
"A_thromboxane_B2","Placebo-FMT_NGBB",0.287547020216289,0.670222377947742
"A_thromboxane_B2","Placebo-NGBB",0.299986391317661,0.676332954970726
"A_LPS22.6","FMT-Chow control",0.425150829562594,0.775275042143554
"A_LPS22.6","FMT_NGBB-Chow control",0.975933341123811,1
"A_LPS22.6","NGBB-Chow control",0.299986391317661,0.676332954970726
